stations_name,latitude,longitude_x,number of bikes,name,distance,address,zip_code,city,longitude_y,categories
Klammstraße,48.303,14.28454,6,Gelbes Krokodil,543,Dametzstr. 30,4020.0,Linz,14.291,modern_european
Klammstraße,48.303,14.28454,6,Cafe Exx,294,Klammstr. 1,4020.0,Linz,14.284,cafes
Klammstraße,48.303,14.28454,6,Izakaya,288,Klammstr. 6,4020.0,Linz,14.284,japanese
Klammstraße,48.303,14.28454,6,Skygarden,31,Landstr. 17 - 25,4020.0,Linz,14.289,bars
Klammstraße,48.303,14.28454,6,Akakiko,47,Landstr. 17-25,4020.0,Linz,14.29,japanese
Klammstraße,48.303,14.28454,6,Cook,516,Klammstr. 1,4020.0,Linz,14.284,scandinavian
Klammstraße,48.303,14.28454,6,Zur Eisernen Hand,77,Eisenhandstr. 43,4020.0,Linz,14.299,austrian
Klammstraße,48.303,14.28454,6,Solaris Bar/Cafe im OK,681,Dametzstr. 30,4020.0,Linz,14.291,bars
Klammstraße,48.303,14.28454,6,China-Palast,40,Eisenhandstr. 30,4020.0,Linz,14.298,chinese
Klammstraße,48.303,14.28454,6,Glorious Bastards,44,Promenade 25,4020.0,Linz,14.285,pizza
E. Koref-Promenade,48.308,14.2889,11,Restaurant Parkbad Bueffet,43,Untere Donaulaende 11,4020.0,Linz,14.289,Restaurant
E. Koref-Promenade,48.308,14.2889,11,Steakhouse Restaurant,416,Untere Donaulände 12,4020.0,Linz,14.289,steak
E. Koref-Promenade,48.308,14.2889,11,Fu Cheng,279,Untere Donaulände 16 a,4020.0,Linz,14.29,chinese
E. Koref-Promenade,48.308,14.2889,11,Die Donauwirtinnen,835,Webergasse 2,4040.0,Linz,14.279,austrian
Lederergasse,48.308,14.29608,3,Restaurant Parkbad Bueffet,43,Untere Donaulaende 11,4020.0,Linz,14.289,Restaurant
Lederergasse,48.308,14.29608,3,Steakhouse Restaurant,416,Untere Donaulände 12,4020.0,Linz,14.289,steak
Lederergasse,48.308,14.29608,3,Fu Cheng,279,Untere Donaulände 16 a,4020.0,Linz,14.29,chinese
Lederergasse,48.308,14.29608,3,Die Donauwirtinnen,835,Webergasse 2,4040.0,Linz,14.279,austrian
Fabrikstraße ,48.309,14.29284,3,Cafe Bar Restaurant Lentos,74,Ernst-Koref-Promenade 1,4020.0,Linz,14.289,"Café, Dining and Drinking, Bar"
Fabrikstraße ,48.309,14.29284,3,LENTOS Kunstmuseum Linz,31,Ernst-Koref-Promenade 1,4020.0,Linz,14.29,artmuseums
Fabrikstraße ,48.309,14.29284,3,Biergartl,641,Obere Donaustr. 4,4040.0,Linz,14.282,beergarden
Fabrikstraße ,48.309,14.29284,3,Fischerhäusl,90,Flussgasse 3,4040.0,Linz,14.282,austrian
Neues Rathaus,48.309,14.28332,13,Cafe Bar Restaurant Lentos,74,Ernst-Koref-Promenade 1,4020.0,Linz,14.289,"Café, Dining and Drinking, Bar"
Neues Rathaus,48.309,14.28332,13,LENTOS Kunstmuseum Linz,31,Ernst-Koref-Promenade 1,4020.0,Linz,14.29,artmuseums
Neues Rathaus,48.309,14.28332,13,Biergartl,641,Obere Donaustr. 4,4040.0,Linz,14.282,beergarden
Neues Rathaus,48.309,14.28332,13,Fischerhäusl,90,Flussgasse 3,4040.0,Linz,14.282,austrian
Ferihumerstraße ,48.313,14.28754,3,Golden Pub,196,Jahnstr. 9,4040.0,Linz,14.283,pubs
Figulystraße ,48.294,14.28811,6,Restaurant Drehscheibe,141,Bahnhofstr. 3,4020.0,Linz,14.293,Restaurant
Friedensplatz,48.3,14.28963,7,Cafe Restaurant Antebia Mediterran,33,Magazingasse 11,4020.0,Linz,14.29,"Mediterranean Restaurant, Turkish Restaurant"
Friedensplatz,48.3,14.28963,7,Restaurant Chindia China & India,36,Magazingasse 10,4020.0,Linz,14.29,"Brewery, Restaurant"
Friedensplatz,48.3,14.28963,7,Restaurant Ankerkeller,301,Hessenpl 14,4020.0,Linz,14.294,"Bar, Greek Restaurant"
Friedensplatz,48.3,14.28963,7,paul's,614,Herrenstr. 36,4020.0,Linz,14.287,international
Friedensplatz,48.3,14.28963,7,Josef das Stadtbräu,947,Landstr. 49,4020.0,Linz,14.291,beergarden
Friedensplatz,48.3,14.28963,7,Antebia Mediterranean,937,Magazingasse 11,4020.0,Linz,14.29,wine_bars
Friedensplatz,48.3,14.28963,7,La Fiesta,24,Magazingasse 10,4020.0,Linz,14.29,mexican
Friedensplatz,48.3,14.28963,7,Börserie,422,Schillerstr. 70,4020.0,Linz,14.301,austrian
Friedensplatz,48.3,14.28963,7,Manfred Heuschober,44,Johann-K.-Vogel-Str. 2,4020.0,Linz,14.291,bakeries
Harrachstraße-Landstraße,48.302,14.29021,0,Restaurant Klosterhof,131,Landstr. 30,4020.0,Linz,14.289,Austrian Restaurant
Harrachstraße-Landstraße,48.302,14.29021,0,Restaurant Zur Goldhaube - Griechenland gruesst Linz,217,Dametzstr. 39,4020.0,Linz,14.292,"Café, Restaurant"
Harrachstraße-Landstraße,48.302,14.29021,0,Restaurant Restaurant Zeys,297,Mariahilfgasse 1,4020.0,Linz,14.28,Restaurant
Harrachstraße-Landstraße,48.302,14.29021,0,Leo Jindrak,478,Herrenstr. 22-24,4020.0,Linz,14.287,bakeries
Harrachstraße-Landstraße,48.302,14.29021,0,Klosterhof,113,Landstr. 30,4020.0,Linz,14.289,austrian
Harrachstraße-Landstraße,48.302,14.29021,0,Stadtliebe,27,Landstr. 31,4020.0,Linz,14.29,gastropubs
Krankenhausstraße ,48.302,14.30534,5,Restaurant Klosterhof,131,Landstr. 30,4020.0,Linz,14.289,Austrian Restaurant
Krankenhausstraße ,48.302,14.30534,5,Restaurant Zur Goldhaube - Griechenland gruesst Linz,217,Dametzstr. 39,4020.0,Linz,14.292,"Café, Restaurant"
Krankenhausstraße ,48.302,14.30534,5,Restaurant Restaurant Zeys,297,Mariahilfgasse 1,4020.0,Linz,14.28,Restaurant
Krankenhausstraße ,48.302,14.30534,5,Leo Jindrak,478,Herrenstr. 22-24,4020.0,Linz,14.287,bakeries
Krankenhausstraße ,48.302,14.30534,5,Klosterhof,113,Landstr. 30,4020.0,Linz,14.289,austrian
Krankenhausstraße ,48.302,14.30534,5,Stadtliebe,27,Landstr. 31,4020.0,Linz,14.29,gastropubs
Spittelwiese ,48.302,14.2868,0,Restaurant Klosterhof,131,Landstr. 30,4020.0,Linz,14.289,Austrian Restaurant
Spittelwiese ,48.302,14.2868,0,Restaurant Zur Goldhaube - Griechenland gruesst Linz,217,Dametzstr. 39,4020.0,Linz,14.292,"Café, Restaurant"
Spittelwiese ,48.302,14.2868,0,Restaurant Restaurant Zeys,297,Mariahilfgasse 1,4020.0,Linz,14.28,Restaurant
Spittelwiese ,48.302,14.2868,0,Leo Jindrak,478,Herrenstr. 22-24,4020.0,Linz,14.287,bakeries
Spittelwiese ,48.302,14.2868,0,Klosterhof,113,Landstr. 30,4020.0,Linz,14.289,austrian
